Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),MM,Species
1,43.3,14.0,14.422205101855956,8.428361977709622,8.4207,-26.38092,9,2
1,48.1,15.1,14.45683229480096,8.612503371220562,8.45738,-26.226640000000003,9,2
1,50.5,15.2,14.696938456699069,8.517193191416238,8.24691,-26.18466,20,2
1,49.8,15.9,15.132745950421556,8.691146498539675,8.29226,-26.21019,20,2
1,43.5,15.2,14.594519519326424,8.444622498581403,8.216339999999999,-26.11046,27,2
1,51.5,16.3,15.165750888103101,8.612503371220562,8.78557,-25.761470000000003,27,2
1,46.2,14.1,14.730919862656235,8.383661798791715,8.30231,-25.96013,25,2
1,55.1,16.0,15.165750888103101,8.674196940225903,8.08354,-26.18161,25,2
1,44.5,15.7,14.730919862656235,8.491875383431948,8.04111,-26.18444,1,2
1,48.8,16.2,14.89966442575134,8.699514748210191,8.33825,-25.88547,1,2
1,47.2,13.7,14.628738838327793,8.502079553606189,7.99184,-26.205379999999998,1,2
1,44.45,17.3,14.035668847618199,8.306472160100585,8.652405,-25.83352,1,2
1,46.8,14.3,14.66287829861518,8.48673398393153,8.41151,-26.13832,22,2
1,50.4,15.7,14.89966442575134,8.656955133791396,8.30166,-26.04117,22,2
1,45.2,14.8,14.560219778561036,8.556413904569519,8.242460000000001,-26.11969,22,2
1,49.9,16.1,14.594519519326424,8.594154232552366,8.3639,-26.15531,22,2
